"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-656.837585677715,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-656.848212457,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-656.872663029143,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-656.909603652328,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-656.957644596114,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-657.015353029899,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-657.0812950144,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-657.154055319401,NA,0,0,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-657.232498657831,NA,0,0.00413404929321309,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-657.315705243403,NA,0,0.00828279102494495,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-657.402760833258,NA,0,0.00843974456047383,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-657.492819869069,NA,0,0.00884139425614603,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-657.586064516563,NA,0,0.00943135352244574,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-657.68346808549,NA,0,0.0101235490841352,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-657.786024236566,NA,0,0.0108521794843445,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-657.894588460325,NA,0,0.0115727384438717,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-658.007948811916,NA,0,0.0122391578741133,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-658.123301830638,NA,0,0.0127967959511011,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-658.237803116476,NA,0,0.0131930280326977,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-658.348699037631,NA,0,0.013385169810839,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-658.454594123772,NA,0,0.013351833880624,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-658.555138419958,NA,0,0.0131053656699645,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-658.65000886553,NA,0,0.0126914104630633,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-658.738989786151,NA,0,0.0121675795764721,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-658.823472324994,NA,0,0.011594748337234,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",133,-658.906084556532,NA,0,0.0110414719409626,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",138,-658.989486373405,NA,0,0.0105712142010136,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",143,-659.076223731764,NA,0,0.0102196791539748,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",148,-659.167137760251,NA,0,0.00999809206644628,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",153,-659.261757207916,NA,0,0.00988922170628281,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",158,-659.359577064851,NA,0,0.00984953318906789,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",163,-659.460015079793,NA,0,0.00984358818021507,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",168,-659.561333242004,NA,0,0.00987524966232775,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",173,-659.660903834805,NA,0,0.00997453381207156,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",178,-659.756076255193,NA,0,0.0101488576146611,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",183,-659.844331202062,NA,0,0.0103619480241627,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",188,-659.925114039733,NA,0,0.0105651314772444,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",193,-659.999382535864,NA,0,0.0107324346339863,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",198,-660.068133362377,NA,0,0.0108550574083536,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",203,-660.132341176957,NA,0,0.0109398752727549,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",208,-660.192651239062,NA,0,0.0109987526483008,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",213,-660.249455236739,NA,0,0.0110330593456625,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",218,-660.303138335299,NA,0,0.0110344201650196,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",223,-660.354003359108,NA,0,0.0110031522045949,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",228,-660.401121068018,NA,0,0.0109568090432722,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",233,-660.44261377618,NA,0,0.0109296336936426,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",238,-660.476579400427,NA,0,0.0109608623200759,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",243,-660.50119718161,NA,0,0.0110592521818334,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",248,-660.515863208864,NA,0,0.0112140544495037,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",253,-660.52091030354,NA,0,0.0114224607290905,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",258,-660.516695382993,NA,0,0.0116900544137648,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",263,-660.503663537451,NA,0,0.0120131893671975,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",268,-660.483579184524,NA,0,0.0123450365419321,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",273,-660.459222362661,NA,0,0.0126004925578783,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",278,-660.433399235601,NA,0,0.0126985248561917,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",283,-660.408847450588,NA,0,0.0126043236558399,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",288,-660.387279445039,NA,0,0.0123205019104659,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",293,-660.369618447818,NA,0,0.0118651391649308,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",298,-660.356767386604,NA,0,0.0112858805765834,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",303,-660.349580290198,NA,0,0.0106412630176157,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",308,-660.34817951532,NA,0,0.00999080460509398,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",313,-660.352124176067,NA,0,0.00939103923017859,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",318,-660.360958897984,NA,0,0.00888405682636961,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",323,-660.374280522619,NA,0,0.00849529676523179,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",328,-660.392467197683,NA,0,0.00822194912713685,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",333,-660.416498521913,NA,0,0.00803835410067816,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",338,-660.44736956546,NA,0,0.00792097798445946,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",343,-660.486005856324,NA,0,0.00786838691200419,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",348,-660.53229236595,NA,0,0.00788300653541207,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",353,-660.58531304328,NA,0,0.00796359277026145,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",358,-660.644131232177,NA,0,0.00810481772998983,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",363,-660.707798062084,NA,0,0.00829308604275426,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",368,-660.775181898518,NA,0,0.0085218993503015,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",373,-660.845010414968,NA,0,0.00878602655868424,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",378,-660.916007665832,NA,0,0.0090795855048307,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",383,-660.986843278341,NA,0,0.00939398909907533,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",388,-661.055372487978,NA,0,0.00972234646606066,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",393,-661.118823609849,NA,0,0.0100604839886081,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",398,-661.174408832494,NA,0,0.0104021861389887,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",403,-661.219461133553,NA,0,0.0107316134264882,NA,NA,NA,"T'en-t4o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
