"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-1269.84052295736,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-1269.85105333667,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-1269.86312850901,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-1269.87640854857,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-1269.89021797275,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-1269.90362298667,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-1269.91568315077,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-1269.92557015461,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-1269.93413347164,NA,0,0.00438739615911127,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-1269.94351413665,NA,0,0.00890906112992055,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-1269.95588640791,NA,0,0.00913274686101871,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-1269.97327736298,NA,0,0.00926102223353018,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-1269.9955118207,NA,0,0.00928831505146645,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-1270.02071929671,NA,0,0.00921229834411049,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-1270.04698569761,NA,0,0.00903477364659615,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-1270.07250362347,NA,0,0.00876585814252501,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-1270.09706212557,NA,0,0.00843025687257748,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-1270.12167920649,NA,0,0.00808472741163054,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-1270.14740448167,NA,0,0.00780587351480898,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-1270.17520102316,NA,0,0.00766667856070268,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-1270.20473695701,NA,0,0.00772076645726675,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-1270.23468355733,NA,0,0.00797866453799504,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-1270.26368645571,NA,0,0.00841027357111485,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-1270.29051061391,NA,0,0.0089622256148324,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-1270.31570652638,NA,0,0.00955991993760077,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",133,-1270.34119919419,NA,0,0.0101278829063843,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",138,-1270.36894897548,NA,0,0.0106172763197818,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",143,-1270.4007417212,NA,0,0.0109972032239175,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",148,-1270.43575213746,NA,0,0.0112309920034283,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",153,-1270.4711448659,NA,0,0.0112980765020274,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",158,-1270.50403284235,NA,0,0.0112071628045469,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",163,-1270.53169001129,NA,0,0.0109822453498572,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",168,-1270.5537994838,NA,0,0.0106740054987851,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",173,-1270.5718989522,NA,0,0.0103625981529365,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",178,-1270.5875738151,NA,0,0.0101285935985942,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",183,-1270.60229310365,NA,0,0.0100170554231929,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",188,-1270.61578464736,NA,0,0.0100358541897341,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",193,-1270.6264358953,NA,0,0.0101612656387066,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",198,-1270.63259981725,NA,0,0.0103370234800843,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",203,-1270.63270650413,NA,0,0.0104958399651233,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",208,-1270.62634000676,NA,0,0.0105833888896389,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",213,-1270.61397269662,NA,0,0.0105696332744067,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",218,-1270.59609979589,NA,0,0.0104477665611247,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",223,-1270.57315238984,NA,0,0.010236070512655,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",228,-1270.54460188561,NA,0,0.00996157559216123,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",233,-1270.50918092823,NA,0,0.00964302664016092,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",238,-1270.46560315919,NA,0,0.00930134685770256,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",243,-1270.41266903651,NA,0,0.00895841305045776,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",248,-1270.35047805079,NA,0,0.008637767515144,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",253,-1270.28012969045,NA,0,0.00836677924079817,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",258,-1270.20274916736,NA,0,0.00817930139450439,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",263,-1270.11943452412,NA,0,0.0080979907689123,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",268,-1270.03087727124,NA,0,0.00811357024435634,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
